char	codepoint	unicode_name	block	count
 	U+0020	SPACE	ASCII	11461
॒	U+0952	DEVANAGARI STRESS SIGN ANUDATTA	Devanagari	3463
्	U+094D	DEVANAGARI SIGN VIRAMA	Devanagari	3318
त	U+0924	DEVANAGARI LETTER TA	Devanagari	2183
ा	U+093E	DEVANAGARI VOWEL SIGN AA	Devanagari	1918
व	U+0935	DEVANAGARI LETTER VA	Devanagari	1696
य	U+092F	DEVANAGARI LETTER YA	Devanagari	1382
र	U+0930	DEVANAGARI LETTER RA	Devanagari	1287
ि	U+093F	DEVANAGARI VOWEL SIGN I	Devanagari	1255
स	U+0938	DEVANAGARI LETTER SA	Devanagari	1018
न	U+0928	DEVANAGARI LETTER NA	Devanagari	953
े	U+0947	DEVANAGARI VOWEL SIGN E	Devanagari	950
म	U+092E	DEVANAGARI LETTER MA	Devanagari	867
प	U+092A	DEVANAGARI LETTER PA	Devanagari	826
द	U+0926	DEVANAGARI LETTER DA	Devanagari	811
ज	U+091C	DEVANAGARI LETTER JA	Devanagari	721
ं	U+0902	DEVANAGARI SIGN ANUSVARA	Devanagari	676
ु	U+0941	DEVANAGARI VOWEL SIGN U	Devanagari	558
ो	U+094B	DEVANAGARI VOWEL SIGN O	Devanagari	477
ह	U+0939	DEVANAGARI LETTER HA	Devanagari	473
ष	U+0937	DEVANAGARI LETTER SSA	Devanagari	370
ै	U+0948	DEVANAGARI VOWEL SIGN AI	Devanagari	331
क	U+0915	DEVANAGARI LETTER KA	Devanagari	295
ऽ	U+093D	DEVANAGARI SIGN AVAGRAHA	Devanagari	287
।	U+0964	DEVANAGARI DANDA	Devanagari	280
श	U+0936	DEVANAGARI LETTER SHA	Devanagari	236
भ	U+092D	DEVANAGARI LETTER BHA	Devanagari	217
ग	U+0917	DEVANAGARI LETTER GA	Devanagari	207
ः	U+0903	DEVANAGARI SIGN VISARGA	Devanagari	202
ी	U+0940	DEVANAGARI VOWEL SIGN II	Devanagari	190
ृ	U+0943	DEVANAGARI VOWEL SIGN VOCALIC R	Devanagari	188
ध	U+0927	DEVANAGARI LETTER DHA	Devanagari	180
थ	U+0925	DEVANAGARI LETTER THA	Devanagari	165
च	U+091A	DEVANAGARI LETTER CA	Devanagari	156
ण	U+0923	DEVANAGARI LETTER NNA	Devanagari	148
अ	U+0905	DEVANAGARI LETTER A	Devanagari	145
॥	U+0965	DEVANAGARI DOUBLE DANDA	Devanagari	128
ᳰ	U+1CF0	VEDIC SIGN RTHANG LONG ANUSVARA	Vedic Extensions	125
ए	U+090F	DEVANAGARI LETTER E	Devanagari	112
ब	U+092C	DEVANAGARI LETTER BA	Devanagari	106
ू	U+0942	DEVANAGARI VOWEL SIGN UU	Devanagari	101
इ	U+0907	DEVANAGARI LETTER I	Devanagari	90
१	U+0967	DEVANAGARI DIGIT ONE	Devanagari	72
ट	U+091F	DEVANAGARI LETTER TTA	Devanagari	69
ल	U+0932	DEVANAGARI LETTER LA	Devanagari	60
उ	U+0909	DEVANAGARI LETTER U	Devanagari	57
॑	U+0951	DEVANAGARI STRESS SIGN UDATTA	Devanagari	57
ञ	U+091E	DEVANAGARI LETTER NYA	Devanagari	52
२	U+0968	DEVANAGARI DIGIT TWO	Devanagari	33
आ	U+0906	DEVANAGARI LETTER AA	Devanagari	29
ौ	U+094C	DEVANAGARI VOWEL SIGN AU	Devanagari	26
ड	U+0921	DEVANAGARI LETTER DDA	Devanagari	25
घ	U+0918	DEVANAGARI LETTER GHA	Devanagari	22
४	U+096A	DEVANAGARI DIGIT FOUR	Devanagari	17
५	U+096B	DEVANAGARI DIGIT FIVE	Devanagari	16
᳘	U+1CD8	VEDIC TONE CANDRA BELOW	Vedic Extensions	16
३	U+0969	DEVANAGARI DIGIT THREE	Devanagari	15
ठ	U+0920	DEVANAGARI LETTER TTHA	Devanagari	15
६	U+096C	DEVANAGARI DIGIT SIX	Devanagari	13
९	U+096F	DEVANAGARI DIGIT NINE	Devanagari	13
छ	U+091B	DEVANAGARI LETTER CHA	Devanagari	12
ᳬ	U+1CEC	VEDIC SIGN ANUSVARA VAMAGOMUKHA WITH TAIL	Vedic Extensions	12
ङ	U+0919	DEVANAGARI LETTER NGA	Devanagari	12
०	U+0966	DEVANAGARI DIGIT ZERO	Devanagari	11
८	U+096E	DEVANAGARI DIGIT EIGHT	Devanagari	11
७	U+096D	DEVANAGARI DIGIT SEVEN	Devanagari	11
ᳩ	U+1CE9	VEDIC SIGN ANUSVARA ANTARGOMUKHA	Vedic Extensions	8
ऊ	U+090A	DEVANAGARI LETTER UU	Devanagari	7
ॄ	U+0944	DEVANAGARI VOWEL SIGN VOCALIC RR	Devanagari	7
1	U+0031	DIGIT ONE	ASCII	5
ॢ	U+0962	DEVANAGARI VOWEL SIGN VOCALIC L	Devanagari	4
ऋ	U+090B	DEVANAGARI LETTER VOCALIC R	Devanagari	4
ढ	U+0922	DEVANAGARI LETTER DDHA	Devanagari	3
ख	U+0916	DEVANAGARI LETTER KHA	Devanagari	3
2	U+0032	DIGIT TWO	ASCII	2
3	U+0033	DIGIT THREE	ASCII	2
5	U+0035	DIGIT FIVE	ASCII	2
4	U+0034	DIGIT FOUR	ASCII	2
औ	U+0914	DEVANAGARI LETTER AU	Devanagari	1
ओ	U+0913	DEVANAGARI LETTER O	Devanagari	1
फ	U+092B	DEVANAGARI LETTER PHA	Devanagari	1
ऐ	U+0910	DEVANAGARI LETTER AI	Devanagari	1
7	U+0037	DIGIT SEVEN	ASCII	1
8	U+0038	DIGIT EIGHT	ASCII	1
9	U+0039	DIGIT NINE	ASCII	1
6	U+0036	DIGIT SIX	ASCII	1
ॐ	U+0950	DEVANAGARI OM	Devanagari	1
